"Fecha";"Tmax"
2016-03-29;25.3
2016-03-30;20.7
2016-03-31;16.1
2016-04-01;20.1
2016-04-02;22.4
2016-04-03;19.7
2016-04-04;14.7
2016-04-05;20.9
2016-04-06;23.1
2016-04-07;25.6
2016-04-08;20.7
2016-04-09;22.2
2016-04-10;17.4
2016-04-11;16.2
2016-04-12;16.6
2016-04-13;19.4
2016-04-14;22.8
2016-04-15;22.2
2016-04-16;22.3
2016-04-17;22.1
2016-04-18;27.1
2016-04-19;20.9
2016-04-20;18.1
2016-04-21;22.1
2016-04-22;21.9
2016-04-23;21.8
2016-04-24;24.9
2016-04-25;26.9
2016-04-26;26.8
2016-04-27;25.4
2016-04-28;25.5
2016-04-29;23
2016-04-30;27
2016-05-01;23.5
2016-05-02;27
2016-05-03;31.9
2016-05-04;30.8
2016-05-05;24.3
2016-05-06;18.7
2016-05-07;19.4
2016-05-08;18
2016-05-09;18.6
2016-05-10;15.1
2016-05-11;19.4
2016-05-12;18.3
2016-05-13;19.3
2016-05-14;23.4
2016-05-15;25.2
2016-05-16;29.1
2016-05-17;30.4
2016-05-18;29.9
2016-05-19;31.2
2016-05-20;32.4
2016-05-21;32.1
2016-05-22;27.8
2016-05-23;30.9
2016-05-24;29.2
2016-05-25;28
2016-05-26;27.5
2016-05-27;28.1
2016-05-28;23.8
2016-05-29;25
2016-05-30;28.3
2016-05-31;31.6
2016-06-01;32.6
2016-06-02;33.7
2016-06-03;30.2
2016-06-04;29.7
2016-06-05;33.4
2016-06-06;34.5
2016-06-07;38
2016-06-08;39.4
2016-06-09;40.4
2016-06-10;34.6
2016-06-11;34.7
2016-06-12;37.1
2016-06-13;38
2016-06-14;36.3
2016-06-15;28.3
2016-06-16;24.6
2016-06-17;29.5
2016-06-18;33.3
2016-06-19;34.9
2016-06-20;36.8
2016-06-21;38.3
2016-06-22;39
2016-06-23;38.4
2016-06-24;38.9
2016-06-25;37
2016-06-26;34.4
2016-06-27;39.7
2016-06-28;35.2
2016-06-29;38.6
2016-06-30;36.7
2016-07-01;37.7
2016-07-02;41
2016-07-03;42.2
2016-07-04;38.5
2016-07-05;40.1
2016-07-06;40.5
2016-07-07;31.1
2016-07-08;36.7
2016-07-09;40.6
2016-07-10;42.1
2016-07-11;41.2
2016-07-12;39.3
2016-07-13;41.2
2016-07-14;38.1
2016-07-15;39.3
2016-07-16;40.2
2016-07-17;41.3
2016-07-18;41.6
2016-07-19;41.5
2016-07-20;39.5
2016-07-21;39.9
2016-07-22;38.9
2016-07-23;39.3
2016-07-24;40.3
2016-07-25;41.5
2016-07-26;41.8
2016-07-27;40.8
2016-07-28;41.3
2016-07-29;41.7
2016-07-30;36.4
2016-07-31;38.9
2016-08-01;41.4
2016-08-02;41.3
2016-08-03;39.9
2016-08-04;40.3
2016-08-05;41.5
2016-08-06;40.9
2016-08-07;40.7
2016-08-08;39.8
2016-08-09;40.3
2016-08-10;36.8
2016-08-11;37.4
2016-08-12;36.8
2016-08-13;38.7
2016-08-14;38.5
2016-08-15;36.3
2016-08-16;38
2016-08-17;37.8
2016-08-18;38.8
2016-08-19;38.6
2016-08-20;38.3
2016-08-21;39.7
2016-08-22;40.1
2016-08-23;40.8
2016-08-24;39.8
2016-08-25;39.5
2016-08-26;39.8
2016-08-27;40.5
2016-08-28;39.7
2016-08-29;39.9
2016-08-30;37.3
2016-08-31;35.5
2016-09-01;38.3
2016-09-02;39.5
2016-09-03;40.8
2016-09-04;41.6
2016-09-05;44.8
2016-09-06;45.7
2016-09-07;41.8
2016-09-08;36.7
2016-09-09;34.1
2016-09-10;36.5
2016-09-11;37.1
2016-09-12;37.4
2016-09-13;27.4
2016-09-14;25.3
2016-09-15;26.1
2016-09-16;30.8
2016-09-17;34.6
2016-09-18;33.1
2016-09-19;33.4
2016-09-20;32.3
2016-09-21;33.3
2016-09-22;31
2016-09-23;32.7
2016-09-24;33.7
2016-09-25;32.6
2016-09-26;34.4
2016-09-27;34.9
2016-09-28;31.4
2016-09-29;30.3
2016-09-30;32.2
2016-10-01;32.1
2016-10-02;31.1
2016-10-03;34
2016-10-04;34.9
2016-10-05;34.2
2016-10-06;32.6
2016-10-07;32.1
2016-10-08;32.2
2016-10-09;29.9
2016-10-10;28.4
2016-10-11;25.5
2016-10-12;18.8
2016-10-13;20.4
2016-10-14;22.4
2016-10-15;25.8
2016-10-16;27.3
2016-10-17;27
2016-10-18;27.2
2016-10-19;28.1
2016-10-20;28
2016-10-21;24.9
2016-10-22;19.2
2016-10-23;18.5
2016-10-24;21.7
2016-10-25;25.9
2016-10-26;31.3
2016-10-27;30.7
2016-10-28;29.6
2016-10-29;27
2016-10-30;28
2016-10-31;26.4
2016-11-01;24.7
2016-11-02;27.4
2016-11-03;25.5
2016-11-04;21.9
2016-11-05;20.7
2016-11-06;16.7
2016-11-07;15.8
2016-11-08;15.5
2016-11-09;12
2016-11-10;16.5
2016-11-11;19.2
2016-11-12;18.5
2016-11-13;22.7
2016-11-14;20.1
2016-11-15;20.1
2016-11-16;22.3
2016-11-17;21.8
2016-11-18;20.7
2016-11-19;20
2016-11-20;15.8
2016-11-21;17.3
2016-11-22;14.1
2016-11-23;14.5
2016-11-24;13.9
2016-11-25;13.2
2016-11-26;14.5
2016-11-27;15.9
2016-11-28;15.3
2016-11-29;19.3
2016-11-30;19.7
2016-12-01;19.9
2016-12-02;19.8
2016-12-03;16.9
